Title,Journal,Year,Volume,Issue,DOI
A conditional asset-pricing model with the optimal orthogonal portfolio,JOURNAL OF BANKING & FINANCE,2011,35,5,10.1016/j.jbankfin.2010.09.017
A conditional multifactor analysis of return momentum,JOURNAL OF BANKING & FINANCE,2002,26,8,10.1016/S0378-4266(01)00179-0
A consumption-based explanation of expected stock returns,JOURNAL OF FINANCE,2006,61,2,10.1111/j.1540-6261.2006.00848.x
A consumption-based-model of the term structure of interest rates,JOURNAL OF FINANCIAL ECONOMICS,2006,79,2,10.1016/j.jfineco.2005.02.004
A continuous-time model to determine the intervention policy for PBGC,JOURNAL OF BANKING & FINANCE,1997,21,8,10.1016/S0378-4266(97)00018-6
A contracting-theory interpretation of the origins of federal deposit insurance,JOURNAL OF MONEY CREDIT AND BANKING,1998,30,3,10.2307/2601258
A core inflation indicator for the euro area,JOURNAL OF MONEY CREDIT AND BANKING,2005,37,3,10.1353/mcb.2005.0028
A credit risk model for large dimensional portfolios with application to economic capital,JOURNAL OF BANKING & FINANCE,2006,30,8,10.1016/j.jbankfin.2005.05.024
A critical review of the new capital adequacy framework paper issued by the Basle Committee on Banking Supervision and its implications for the rating agency industry,JOURNAL OF BANKING & FINANCE,2001,25,1,10.1016/S0378-4266(00)00122-9
A critique of the stochastic discount factor methodology,JOURNAL OF FINANCE,1999,54,4,10.1111/0022-1082.00145
A critique on the theory of financial intermediation,JOURNAL OF BANKING & FINANCE,2000,24,8,10.1016/S0378-4266(99)00085-0
A cross-country comparison of full and partial venture capital exits,JOURNAL OF BANKING & FINANCE,2003,27,3,10.1016/S0378-4266(02)00389-8
A Cross-exchange comparison of execution costs and information flow for NYSE-listed stocks,JOURNAL OF FINANCIAL ECONOMICS,1997,46,3,10.1016/S0304-405X(97)00032-9
A cross-firm analysis of the impact of corporate governance on the East Asian financial crisis,JOURNAL OF FINANCIAL ECONOMICS,2002,64,2,10.1016/S0304-405X(02)00076-4
A cultural explanation of the foreign bias in international asset allocation,JOURNAL OF BANKING & FINANCE,2010,34,9,10.1016/j.jbankfin.2010.01.020
A cyclical model of exchange rate volatility,JOURNAL OF BANKING & FINANCE,2011,35,11,10.1016/j.jbankfin.2011.04.007
A Dialogue between Micro- and Macroeconomics: Introduction,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,,10.1111/j.1538-4616.2011.00408.x
A direct test of the permanent income hypothesis with an application to the US states,JOURNAL OF MONEY CREDIT AND BANKING,2004,36,6,10.1353/mcb.2005.0014
A discrete Markov chain model for valuing loan portfolios. The case of Mexican loan sales,JOURNAL OF BANKING & FINANCE,1998,22,10-11,10.1016/S0378-4266(98)00057-0
A dynamic model for the forward curve,REVIEW OF FINANCIAL STUDIES,2008,21,1,10.1093/rfs/hhm039
A dynamic model of active portfolio management with benchmark orientation,JOURNAL OF BANKING & FINANCE,2007,31,11,10.1016/j.jbankfin.2007.04.007
A dynamic model of firewalls and non-traditional banking,JOURNAL OF BANKING & FINANCE,1997,21,3,10.1016/S0378-4266(96)00049-0
"A dynamic model of money, credit, and consumption: A joint model for the UK household sector",JOURNAL OF MONEY CREDIT AND BANKING,2005,37,1,10.1353/mcb.2005.0002
A Dynamic Model of the Limit Order Book,REVIEW OF FINANCIAL STUDIES,2009,22,11,10.1093/rfs/hhp011
A factor analysis approach to measuring European loan and bond market integration,JOURNAL OF BANKING & FINANCE,2011,35,4,10.1016/j.jbankfin.2010.09.016
A financial-economic evaluation of insurance guaranty fund system: An agency cost perspective,JOURNAL OF BANKING & FINANCE,1997,21,8,10.1016/S0378-4266(97)00015-0
A Financing-Based Misvaluation Factor and the Cross-Section of Expected Returns,REVIEW OF FINANCIAL STUDIES,2010,23,9,10.1093/rfs/hhq063
A first look at the accuracy of the CRSP mutual fund database and a comparison of the CRSP and morningstar mutual fund databases,JOURNAL OF FINANCE,2001,56,6,10.1111/0022-1082.00410
A first-passage-time model under regime-switching market environment,JOURNAL OF BANKING & FINANCE,2008,32,12,10.1016/j.jbankfin.2008.05.013
A flight to Q? Firm investment and financing in Korea before and after the 1997 financial crisis,JOURNAL OF BANKING & FINANCE,2008,32,7,10.1016/j.jbankfin.2007.11.013
A framework for assessing financial stability?,JOURNAL OF BANKING & FINANCE,2006,30,12,10.1016/j.jbankfin.2006.06.003
A framework for assessing the systemic risk of major financial institutions,JOURNAL OF BANKING & FINANCE,2009,33,11,10.1016/j.jbankfin.2009.05.017
A framework for journal assessment: The case of the Journal of Banking & Finance,JOURNAL OF BANKING & FINANCE,2011,35,1,10.1016/j.jbankfin.2010.07.006
A friend in need is a friend indeed: Allocation and demand in IPO bookbuilding,JOURNAL OF FINANCIAL INTERMEDIATION,2009,18,2,10.1016/j.jfi.2008.09.003
A further look at household portfolio choice and health status,JOURNAL OF BANKING & FINANCE,2006,30,4,10.1016/j.jbankfin.2005.05.006
A Gap-Filling Theory of Corporate Debt Maturity Choice,JOURNAL OF FINANCE,2010,65,3,10.1111/j.1540-6261.2010.01559.x
A GARCH option pricing model with filtered historical simulation,REVIEW OF FINANCIAL STUDIES,2008,21,3,10.1093/rfs/hhn031
"A general approach to integrated risk management with skewed, fat-tailed risks",JOURNAL OF FINANCIAL ECONOMICS,2006,79,3,10.1016/j.jfineco.2005.03.001
A general equilibrium analysis of check float,JOURNAL OF FINANCIAL INTERMEDIATION,1999,8,4,10.1006/jfin.1999.0274
A General Stochastic Volatility Model for the Pricing of Interest Rate Derivatives,REVIEW OF FINANCIAL STUDIES,2009,22,5,10.1093/rfs/hhn040
A general theory (and some evidence) of expectation traps in monetary policy,JOURNAL OF MONEY CREDIT AND BANKING,2008,40,5,10.1111/j.1538-4616.2008.00140.x
A generalization of the Brennan-Rubinstein approach for the pricing of derivatives,JOURNAL OF FINANCE,2003,58,2,10.1111/1540-6261.00546
A generalized extreme value approach to financial risk measurement,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,7,10.1111/j.1538-4616.2007.00081.x
A guide to choosing absolute bank capital requirements,JOURNAL OF BANKING & FINANCE,2002,26,5,10.1016/S0378-4266(02)00210-8
A Habit-Based Explanation of the Exchange Rate Risk Premium,JOURNAL OF FINANCE,2010,65,1,10.1111/j.1540-6261.2009.01525.x
A law and finance analysis of initial public offerings,JOURNAL OF FINANCIAL INTERMEDIATION,2004,13,3,10.1016/j.jfi.2003.11.003
A lender-based theory of collateral,JOURNAL OF FINANCIAL ECONOMICS,2007,84,3,10.1016/j.jfineco.2006.06.002
A linear model for tracking error minimization,JOURNAL OF BANKING & FINANCE,1999,23,1,10.1016/S0378-4266(98)00076-4
A linearly implicit predictor-corrector scheme for pricing American options using a penalty method approach,JOURNAL OF BANKING & FINANCE,2006,30,2,10.1016/j.jbankfin.2005.04.017
A liquidity-augmented capital asset pricing model,JOURNAL OF FINANCIAL ECONOMICS,2006,82,3,10.1016/j.jfineco.2005.10.005
A Liquidity-Based Theory of Closed-End Funds,REVIEW OF FINANCIAL STUDIES,2009,22,1,10.1093/rfs/hhn028
A long-run non-linear approach to the Fisher effect,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,2-3,10.1111/j.0022-2879.2007.00035.x
A market-clearing role for inefficiency on a limit order book,JOURNAL OF FINANCIAL ECONOMICS,2009,91,1,10.1016/j.jfineco.2007.12.004
A Markov model for the term structure of credit risk spreads,REVIEW OF FINANCIAL STUDIES,1997,10,2,10.1093/rfs/10.2.481
A Markov regime switching approach for hedging energy commodities,JOURNAL OF BANKING & FINANCE,2008,32,9,10.1016/j.jbankfin.2007.12.020
A model for tax advantages of portfolios with many assets,JOURNAL OF BANKING & FINANCE,2007,31,11,10.1016/j.jbankfin.2007.04.005
A model of competition in banking: Bank capital vs expertise,JOURNAL OF FINANCIAL INTERMEDIATION,2002,11,1,10.1006/jfin.2001.0327
A model of dynamic compensation and capital structure,JOURNAL OF FINANCIAL ECONOMICS,2011,100,2,10.1016/j.jfineco.2011.01.005
A model of financial structure and financial fragility,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,3,10.1353/mcb.2006.0047
A model of investor sentiment,JOURNAL OF FINANCIAL ECONOMICS,1998,49,3,10.1016/S0304-405X(98)00027-0
A Model of Portfolio Delegation and Strategic Trading,REVIEW OF FINANCIAL STUDIES,2011,24,11,10.1093/rfs/hhr054
A model of returns and trading in futures markets,JOURNAL OF FINANCE,2000,55,2,10.1111/0022-1082.00233
A model of the monetary sector with and without binding capital requirements,JOURNAL OF BANKING & FINANCE,2004,28,3,10.1016/S0378-4266(03)00038-4
A moment computation algorithm for the error in discrete dynamic hedging,JOURNAL OF BANKING & FINANCE,2006,30,2,10.1016/j.jbankfin.2005.04.015
A momentum trading strategy based on the low frequency component of the exchange rate,JOURNAL OF BANKING & FINANCE,2009,33,9,10.1016/j.jbankfin.2009.03.003
"A money demand function with output uncertainty, monetary uncertainty, and financial innovations",JOURNAL OF MONEY CREDIT AND BANKING,2003,35,5,10.1353/mcb.2003.0034
A Monte Carlo method for optimal portfolios,JOURNAL OF FINANCE,2003,58,1,10.1111/1540-6261.00529
A more complete conceptual framework for SME finance,JOURNAL OF BANKING & FINANCE,2006,30,11,10.1016/j.jbankfin.2006.05.008
A multi-horizon comparison of density forecasts for the S&P 500 using index returns and option prices,JOURNAL OF BANKING & FINANCE,2010,34,11,10.1016/j.jbankfin.2010.05.006
A multibeta representation theorem for linear asset pricing theories,JOURNAL OF FINANCIAL ECONOMICS,1997,46,3,10.1016/S0304-405X(97)00034-2
A multinational perspective on capital structure choice and internal capital markets,JOURNAL OF FINANCE,2004,59,6,10.1111/j.1540-6261.2004.00706.x
A Multiplicative Model of Optimal CEO Incentives in Market Equilibrium,REVIEW OF FINANCIAL STUDIES,2009,22,12,10.1093/rfs/hhn117
A multivariate model of strategic asset allocation,JOURNAL OF FINANCIAL ECONOMICS,2003,67,1,10.1016/S0304-405X(02)00231-3
A new analysis of the determinants of the real Dollar-Sterling exchange rate: 1871-1994,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,8,10.1353/mcb.2007.0005
A new approach to measuring financial contagion,REVIEW OF FINANCIAL STUDIES,2003,16,3,10.1093/rfs/hhg012
A new approach to modeling the dynamics of implied distributions: Theory and evidence from the S&P 500 options,JOURNAL OF BANKING & FINANCE,2004,28,7,10.1016/S0378-4266(03)00127-4
A new estimate of transaction costs,REVIEW OF FINANCIAL STUDIES,1999,12,5,10.1093/rfs/12.5.1113
A New Keynesian Perspective on the Great Recession,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,1,10.1111/j.1538-4616.2010.00364.x
A new look at the Monday effect,JOURNAL OF FINANCE,1997,52,5,10.1111/j.1540-6261.1997.tb02757.x
A new measure of cross-sectional risk and its empirical implications for portfolio risk management,JOURNAL OF BANKING & FINANCE,2006,30,8,10.1016/j.jbankfin.2005.08.003
A New Perspective on Gaussian Dynamic Term Structure Models,REVIEW OF FINANCIAL STUDIES,2011,24,3,10.1093/rfs/hhq128
A new test of the relationship between regulatory change in financial markets and the stability of beta risk of depository institutions,JOURNAL OF BANKING & FINANCE,1997,21,2,10.1016/S0378-4266(96)00034-9
A nonlinear factor analysis of S&P 500 index option returns,JOURNAL OF FINANCE,2006,61,5,10.1111/j.1540-6261.2006.01059.x
A nonparametric approach for assessing productivity dynamics of large US banks,JOURNAL OF MONEY CREDIT AND BANKING,2001,33,1,10.2307/2673875
A nonparametric model of term structure dynamics and the market price of interest rate risk,JOURNAL OF FINANCE,1997,52,5,10.1111/j.1540-6261.1997.tb02748.x
A numerical method to price exotic path-dependent options on an underlying described by the Heston stochastic volatility model,JOURNAL OF BANKING & FINANCE,2007,31,11,10.1016/j.jbankfin.2007.04.013
A P.D.E. approach to Asian options: Analytical and numerical evidence,JOURNAL OF BANKING & FINANCE,1997,21,5,10.1016/S0378-4266(96)00057-X
A parametric nonlinear model of term structure dynamics,REVIEW OF FINANCIAL STUDIES,1999,12,4,10.1093/rfs/12.4.721
A path-dependent approach to security valuation with application to interest rate contingent claims,JOURNAL OF BANKING & FINANCE,1997,21,4,10.1016/S0378-4266(96)00062-3
A Political Agency Theory of Central Bank Independence,JOURNAL OF MONEY CREDIT AND BANKING,2010,42,4,10.1111/j.1538-4616.2010.00302.x
A portfolio view of banking with interest and noninterest activities,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,5,10.1353/mcb.2006.0075
A practical approach to validating a PD model,JOURNAL OF BANKING & FINANCE,2009,33,4,10.1016/j.jbankfin.2008.11.007
A primer on monetary and fiscal policy,JOURNAL OF BANKING & FINANCE,1999,23,10,10.1016/S0378-4266(99)00026-6
A quantitative comparison of sticky-price and sticky-information models of price setting,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,1,10.1111/j.1538-4616.2007.00017.x
A Rational Expectations Equilibrium with Informative Trading Volume,JOURNAL OF FINANCE,2009,64,6,10.1111/j.1540-6261.2009.01517.x
A rational expectations model of financial contagion,JOURNAL OF FINANCE,2002,57,2,10.1111/1540-6261.00441
A re-examination of China's share issue privatization,JOURNAL OF BANKING & FINANCE,2009,33,12,10.1016/j.jbankfin.2009.06.008
A reconsideration of the Jensen-Meckling model of outside finance,JOURNAL OF FINANCIAL INTERMEDIATION,2009,18,4,10.1016/j.jfi.2007.09.001
A reduced form model of default spreads with Markov-switching macroeconomic factors,JOURNAL OF BANKING & FINANCE,2011,35,8,10.1016/j.jbankfin.2011.01.001
A Reexamination of Corporate Governance and Equity Prices,REVIEW OF FINANCIAL STUDIES,2009,22,11,10.1093/rfs/hhp018
A reexamination of the conglomerate merger wave in the 1960s: An internal capital markets view,JOURNAL OF FINANCE,1999,54,3,10.1111/0022-1082.00139
A reexamination of the predictability of economic activity using the yield spread,JOURNAL OF MONEY CREDIT AND BANKING,2002,34,2,10.1353/mcb.2002.0040
A resolution of the distress risk and leverage puzzles in the cross section of stock returns,JOURNAL OF FINANCIAL ECONOMICS,2010,96,1,10.1016/j.jfineco.2009.11.003
A revealed preference approach to understanding corporate governance problems: Evidence from Canada,JOURNAL OF FINANCIAL ECONOMICS,2004,74,1,10.1016/j.jfineco.2002.11.001
"A review of IPO activity, pricing, and allocations",JOURNAL OF FINANCE,2002,57,4,10.1111/1540-6261.00478
A revisited and stable Fourier transform method for affine jump diffusion models,JOURNAL OF BANKING & FINANCE,2008,32,10,10.1016/j.jbankfin.2007.05.019
A risk-factor model foundation for ratings-based bank capital rules,JOURNAL OF FINANCIAL INTERMEDIATION,2003,12,3,10.1016/S1042-9573(03)00040-8
A rose.com by any other name,JOURNAL OF FINANCE,2001,56,6,10.1111/0022-1082.00408
A search-based theory of the on-the-run phenomenon,JOURNAL OF FINANCE,2008,63,3,10.1111/j.1540-6261.2008.01360.x
A shrinkage approach to model uncertainty and asset allocation,REVIEW OF FINANCIAL STUDIES,2005,18,2,10.1093/rfs/hhi014
A simple adaptive measure of core inflation,JOURNAL OF MONEY CREDIT AND BANKING,2002,34,1,10.1353/mcb.2002.0027
A simple model of credit contagion,JOURNAL OF BANKING & FINANCE,2007,31,8,10.1016/j.jbankfin.2006.10.023
A simple model of the gold standard,JOURNAL OF MONEY CREDIT AND BANKING,1997,29,1,10.2307/2953688
A Simple Robust Link Between American Puts and Credit Protection,REVIEW OF FINANCIAL STUDIES,2011,24,2,10.1093/rfs/hhq129
A simulation approach to dynamic portfolio choice with an application to learning about return predictability,REVIEW OF FINANCIAL STUDIES,2005,18,3,10.1093/rfs/hhi019
A skeptical appraisal of asset pricing tests,JOURNAL OF FINANCIAL ECONOMICS,2010,96,2,10.1016/j.jfineco.2009.09.001
A small-sample study of the New-Keynesian macro model,JOURNAL OF MONEY CREDIT AND BANKING,2006,38,6,10.1353/mcb.2006.0078
A specialist's quoted depth and the limit order book,JOURNAL OF FINANCE,1999,54,2,10.1111/0022-1082.00124
A stochastic dominance analysis of yen carry trades,JOURNAL OF BANKING & FINANCE,2010,34,6,10.1016/j.jbankfin.2009.11.017
A study of competing designs for a liquidity-saving mechanism,JOURNAL OF BANKING & FINANCE,2010,34,8,10.1016/j.jbankfin.2009.07.023
A study of the corporate governance of thrifts,JOURNAL OF BANKING & FINANCE,2004,28,6,10.1016/S0378-4266(03)00118-3
A study on long-run inefficiency levels of a panel dynamic cost frontier under the framework of forward-looking rational expectations,JOURNAL OF BANKING & FINANCE,2009,33,5,10.1016/j.jbankfin.2008.09.018
A study towards a unified approach to the joint estimation of objective and risk neutral measures for the purpose of options valuation,JOURNAL OF FINANCIAL ECONOMICS,2000,56,3,10.1016/S0304-405X(00)00046-5
A survey of corporate governance,JOURNAL OF FINANCE,1997,52,2,10.1111/j.1540-6261.1997.tb04820.x
A Survey of New Keynesian Theories of Aggregate Supply and Their Relation to Industrial Organization,JOURNAL OF MONEY CREDIT AND BANKING,2011,43,,10.1111/j.1538-4616.2011.00411.x
A synthetic factor approach to the estimation of value-at-risk of a portfolio of interest rate swaps,JOURNAL OF BANKING & FINANCE,2000,24,12,10.1016/S0378-4266(99)00119-3
A tale of two prices: Liquidity and asset prices in multiple markets,JOURNAL OF BANKING & FINANCE,2008,32,6,10.1016/j.jbankfin.2007.07.002
A Tale of Two Rigidities: Sticky Prices in a Sticky-Information Environment,JOURNAL OF MONEY CREDIT AND BANKING,2010,42,8,10.1111/j.1538-4616.2010.00353.x
A tale of values-driven and profit-seeking social investors,JOURNAL OF BANKING & FINANCE,2011,35,8,10.1016/j.jbankfin.2011.01.009
A test for rational bubbles in the NASDAQ stock index: A fractionally integrated approach,JOURNAL OF BANKING & FINANCE,2005,29,10,10.1016/j.jbankfin.2004.10.003
A test of the different implications of the overconfidence and disposition hypotheses,JOURNAL OF BANKING & FINANCE,2011,35,8,10.1016/j.jbankfin.2011.01.018
A test of the errors-in-expectations explanation of the value/glamour stock returns performance: Evidence from analysts' forecasts,JOURNAL OF FINANCE,2002,57,5,10.1111/1540-6261.00491
A test of the Law of One Price in retail banking,JOURNAL OF MONEY CREDIT AND BANKING,2007,39,8,10.1111/j.1538-4616.2007.00096.x
A test of the relative pricing effects of dividends and earnings: Evidence from simultaneous announcements in Japan,JOURNAL OF FINANCE,2000,55,3,10.1111/0022-1082.00245
A theory of bank capital,JOURNAL OF FINANCE,2000,55,6,10.1111/0022-1082.00296
A theory of bank regulation and management compensation,REVIEW OF FINANCIAL STUDIES,2000,13,1,10.1093/rfs/13.1.95
A theory of banking structure,JOURNAL OF BANKING & FINANCE,1999,23,6,10.1016/S0378-4266(98)00123-X
A theory of board control and size,REVIEW OF FINANCIAL STUDIES,2008,21,4,10.1093/rfs/hhl030
A theory of contractual provisions in leasing,JOURNAL OF FINANCIAL INTERMEDIATION,2010,19,1,10.1016/j.jfi.2007.09.002
A theory of corporate capital structure and investment,REVIEW OF FINANCIAL STUDIES,2004,17,4,10.1093/rfs/hhg045
A theory of corporate financial decisions with liquidity and solvency concerns,JOURNAL OF FINANCIAL ECONOMICS,2011,99,2,10.1016/j.jfineco.2010.09.010
A theory of corporate spin-offs,JOURNAL OF FINANCIAL ECONOMICS,2004,72,2,10.1016/j.jfineco.2003.05.002
A Theory of Debt Market Illiquidity and Leverage Cyclicality,REVIEW OF FINANCIAL STUDIES,2011,24,10,10.1093/rfs/hhr051
A theory of dividends based on tax clienteles,JOURNAL OF FINANCE,2000,55,6,10.1111/0022-1082.00298
A theory of equity carve-outs and negative stub values under heterogeneous beliefs,JOURNAL OF FINANCIAL ECONOMICS,2011,100,3,10.1016/j.jfineco.2011.02.017
A theory of friendly boards,JOURNAL OF FINANCE,2007,62,1,10.1111/j.1540-6261.2007.01206.x
A theory of IPO waves,REVIEW OF FINANCIAL STUDIES,2007,20,4,10.1093/revfin/hhm004
"A theory of optimal expropriation, mergers and industry competition",JOURNAL OF BANKING & FINANCE,2011,35,4,10.1016/j.jbankfin.2010.09.011
A theory of pyramidal ownership and family business groups,JOURNAL OF FINANCE,2006,61,6,10.1111/j.1540-6261.2006.01001.x
A theory of socialistic internal capital markets,JOURNAL OF FINANCIAL ECONOMICS,2006,80,3,10.1016/j.jfineco.2005.07.002
A theory of strategic venture investing,JOURNAL OF FINANCIAL ECONOMICS,2002,64,2,10.1016/S0304-405X(02)00078-8
A theory of takeovers and disinvestment,JOURNAL OF FINANCE,2007,62,2,10.1111/j.1540-6261.2007.01224.x
A theory of the going-public decision,REVIEW OF FINANCIAL STUDIES,1999,12,2,10.1093/rfs/12.2.249
A theory of the syndicate: Form follows function,JOURNAL OF FINANCE,2001,56,6,10.1111/0022-1082.00404
A theory of the transition to secondary market trading of IPOs,JOURNAL OF FINANCIAL ECONOMICS,2008,90,3,10.1016/j.jfineco.2007.08.006
A trade-based analysis of momentum,REVIEW OF FINANCIAL STUDIES,2006,19,2,10.1093/rfs/hhj016
A transactions data analysis of nonsynchronous trading,REVIEW OF FINANCIAL STUDIES,1999,12,3,10.1093/rfs/12.3.609
A two-sector approach to modeling U.S. NIPA data,JOURNAL OF MONEY CREDIT AND BANKING,2003,35,4,10.1353/mcb.2003.0032
"A Unified Theory of Tobin's q, Corporate Investment, Financing, and Risk Management",JOURNAL OF FINANCE,2011,66,5,10.1111/j.1540-6261.2011.01681.x
"A unified theory of underreaction, momentum trading, and overreaction in asset markets",JOURNAL OF FINANCE,1999,54,6,10.1111/0022-1082.00184
A value-of-information approach to measuring risk in multi-period economic activity,JOURNAL OF BANKING & FINANCE,2006,30,2,10.1016/j.jbankfin.2005.04.006
A word of caution on calculating market-based minimum capital risk requirements,JOURNAL OF BANKING & FINANCE,2000,24,10,10.1016/S0378-4266(99)00092-8
"A""matching auction"" for targets with heterogeneous bidders",JOURNAL OF FINANCIAL INTERMEDIATION,2003,12,4,10.1016/j.jfi.2003.08.003
Ability of accounting and audit quality variables to predict bank failure during the financial crisis,JOURNAL OF BANKING & FINANCE,2011,35,11,10.1016/j.jbankfin.2011.03.005
Abnormal returns to rivals of acquisition targets: A test of the 'acquisition probability hypothesis',JOURNAL OF FINANCIAL ECONOMICS,2000,55,2,10.1016/S0304-405X(99)00048-3
"Absolute priority rule violations, credit rationing, and efficiency",JOURNAL OF FINANCIAL INTERMEDIATION,1997,6,3,10.1006/jfin.1997.0220
Accelerated investment effect of risky debt,JOURNAL OF BANKING & FINANCE,2010,34,11,10.1016/j.jbankfin.2010.04.015
Accelerated share repurchases,JOURNAL OF FINANCIAL ECONOMICS,2011,101,1,10.1016/j.jfineco.2011.02.004
"Access to Capital, Capital Structure, and the Funding of the Firm",JOURNAL OF FINANCE,2009,64,1,10.1111/j.1540-6261.2008.01434.x
Access to external finance: Theory and evidence on the impact of monetary policy and firm-specific characteristics,JOURNAL OF BANKING & FINANCE,2006,30,1,10.1016/j.jbankfin.2005.01.002
Access to financing and firm growth,JOURNAL OF BANKING & FINANCE,2011,35,3,10.1016/j.jbankfin.2010.09.005
"Accountability, transparency, and inflation targeting",JOURNAL OF MONEY CREDIT AND BANKING,2003,35,5,10.1353/mcb.2003.0041
