original affiliation,alias
ABN-AMRO BANK NV,ABN-AMRO AMSTERDAM
ABN-AMRO BANK NV CREDIT PORTFOLIO MODELLING,ABN-AMRO AMSTERDAM
ABN-AMRO THE NETHERLANDS,ABN-AMRO AMSTERDAM
ABO AKADEMIE UNIVERSITY,ABO AKADEMIE UNIVERSITY
ABP INVESTMENTS,ABP INVESTMENTS
ABP INVESTMENTS SCHIPHOL,APG INVESTMENTS SCHIPHOL
ABT ASSOCIATES,ABT ASSOCIATES
ACADEMIA SINICA,ACADEMIA SINICA
ACADEMY FOR MANAGEMENT EXCELLENCE MADRAS,ACADEMY FOR MANAGEMENT EXCELLENCE MADRAS
ACADEMY OF FINANCIAL RESEARCH AND COLLEGE OF ECONOMICS ZHEJIANG UNIVERSITY,ZHEJIANG UNIVERSITY
ACADEMY OF MATHEMATICS AND SYSTEMS SCIENCE AND CENTER FOR FORECASTING SCIENCE CHINESE ACADEMY OF SCIENCES,CHINESE ACADEMY OF SCIENCES
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,ACADEMY OF SCIENCES OF THE CZECH REPUBLIC
ACADIA UNIVERSITY,ACADIA UNIVERSITY
ACCOUNTING AND FINANCE DEPARTMENT LANCASTER UNIVERSITY,LANCASTER UNIVERSITY
ACCOUNTING AND FINANCE DEPARTMENT LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
ACCOUNTING AND FINANCE DISCIPLINE UWA BUSINESS SCHOOL THE UNIVERSITY OF WESTERN AUSTRALIA,UNIVERSITY OF WESTERN AUSTRALIA
ACCOUNTING AND FINANCE DISCIPLINE UWA BUSINESS SCHOOL UNIVERSITY OF WESTERN AUSTRALIA,UNIVERSITY OF WESTERN AUSTRALIA
ACCOUNTING AND FINANCE DIVISION LEEDS UNIVERSITY BUSINESS SCHOOL UNIVERSITY OF LEEDS,UNIVERSITY OF LEEDS
ACCOUNTING AND FINANCE GROUP JUDGE BUSINESS SCHOOL UNIVERSITY OF CAMBRIDGE,UNIVERSITY OF CAMBRIDGE
ACCOUNTING AND FINANCE GROUP WARWICK BUSINESS SCHOOL UNIVERSITY OF WARWICK,UNIVERSITY OF WARWICK
ACCOUNTING AND FINANCE INTERNATIONAL INSTITUTE OF BANKING AND FINANCIAL SERVICES (IIBFS) LEEDS UNIVERSITY BUSINESS SCHOOL LEEDS,UNIVERSITY OF LEEDS
ACCOUNTING AND FINANCE LEEDS UNIVERSITY BUSINESS SCHOOL,UNIVERSITY OF LEEDS
ACCOUNTING AND REAL ESTATE EBS BUSINESS SCHOOL,EUROPEAN BUSINESS SCHOOL
ACCOUNTING AND REAL ESTATE EUROPEAN BUSINESS SCHOOL,EUROPEAN BUSINESS SCHOOL
ACCOUNTING AND STATISTICS AT VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS,VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS
ACCOUNTING AND STATISTICS VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS,VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS
ACCOUNTING AND STATISTICS WU (VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS),VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS
ADELAIDE,UNIVERSITY OF ADELAIDE
ADELAIDE BUSINESS SCHOOL UNIVERSITY OF ADELAIDE,UNIVERSITY OF ADELAIDE
ADELAIDE UNIVERSITY,UNIVERSITY OF ADELAIDE
ADVANCED RESEARCH CENTER OF STATE STREET GLOBAL ADVISORS,STATE STREET
ADVANCED STRATEGIC GROUP WELLS NIKKO INVESTMENT ADVISORS,? (NIKKO CITIGROUP)
ADVERTISINGCOM BALTIMORE,ADVERTISINGCOM BALTIMORE
AEGON ASSET MANAGEMENT,AEGON ASSET MANAGEMENT
AEGON ASSET MANAGEMENT THE NETHERLANDS,AEGON ASSET MANAGEMENT
AFM-TILEC RESEARCH NETWORK CENTRE FOR BUSINESS LAW UNIVERSITEIT VAN TILBURG,TILBURG UNIVERSITY
"AFM-TILEC RESEARCH NETWORK, CENTRE FOR BUSINESS LAW, UNIVERSITEIT VAN TILBURG",TILBURG UNIVERSITY
AGDER RESEARCH KRISTIANSAND,AGDER RESEARCH KRISTIANSAND
AGDER UNIVERSITY KRISTIANSAND,UNIVERSITY OF AGDER
AGNES SCOTT COLLEGE,AGNES SCOTT COLLEGE
AGRICULTURAL AND RESOURCE ECONOMICS UNIVERSITY OF CALIFORNIA DAVIS,"UNIVERSITY OF CALIFORNIA, DAVIS"
AHL MAN INVESTMENTS,AHL
AIX-MARSEILLE UNIVERSITY,UNIVERSITY OF AIX-MARSEILLE
AJOU UNIVERSITY,AJOU UNIVERSITY
AJU UNIVERSITY,AJOU UNIVERSITY
AJU UNIVERSITY,AJOU UNIVERSITY
AKRON,UNIVERSITY OF AKRON
AL-AKHAWAYN UNIVERSITY MOROCCO,AL-AKHAWAYN UNIVERSITY
ALABAMA,UNIVERSITY OF ALABAMA
ALABAMA A&M UNIVERSITY,ALABAMA A AND M UNIVERSITY
ALBA,ALBA GRADUATE BUSINESS SCHOOL
ALBA ATHENS,ALBA GRADUATE BUSINESS SCHOOL
ALBA GRADUATE BUSINESS SCHOOL,ALBA GRADUATE BUSINESS SCHOOL
ALBA GRADUATE BUSINESS SCHOOL GREECE,ALBA GRADUATE BUSINESS SCHOOL
ALBERS SCHOOL OF BUSINESS AND ECONOMICS SEATTLE UNIVERSITY,SEATTLE UNIVERSITY
ALBERTA,UNIVERSITY OF ALBERTA
ALEXANDRU IOAN CUZA UNIVERSITY,ALEXANDRU IOAN CUZA UNIVERSITY
ALFRED LERNER COLLEGE OF BUSINESS AND ECONOMICS UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
ALFRED-WEBER-INSTITUT UNIVERSITAT HEIDELBERG,HEIDELBERG UNIVERSITY
ALGORITHMICS,ALGORITHMICS
ALGORITHMICS (UK) LIMITED LONDON,ALGORITHMICS
ALGORITHMICS INC TORONTO,ALGORITHMICS
ALICANTE,UNIVERSITY OF ALICANTE
ALICE WALTON CHAIR OF FINANCE COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF ARKANSAS,UNIVERSITY OF ARKANSAS
ALL SOULS COLLEGE,UNIVERSITY OF OXFORD
ALL SOULS COLLEGE UNIVERSITY OF OXFORD,UNIVERSITY OF OXFORD
ALLIANCEBERNSTEIN,ALLIANCEBERNSTEIN
ALLIANCEBERNSTEIN DEVONSHIRE HOUSE MAYFAIR,ALLIANCEBERNSTEIN
ALPHA PORTFOLIO ADVISORS GMBH BAD SODEN,ALPHA PORTFOLIO ADVISORS
ALPHASIMPLEX GROUP CAMBRIDGE,ALPHASIMPLEX GROUP CAMBRIDGE
ALPHASIMPLEX GROUP LLC CAMBRIDGE,ALPHASIMPLEX GROUP CAMBRIDGE
AMEN,APPLIED MACROECONOMICS NETWORK
AMERICAN ENTERPRISE INSTITUTE,AMERICAN ENTERPRISE INSTITUTE
AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY
AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MANAGEMENT,THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT
AMERICAN UNIVERSITY,AMERICAN UNIVERSITY WASHINGTON
AMERICAN UNIVERSITY BEIRUT,AMERICAN UNIVERSITY BEIRUT
AMERICAN UNIVERSITY CAIRO,AMERICAN UNIVERSITY CAIRO
AMERICAN UNIVERSITY IN DUBAI,AMERICAN UNIVERSITY OF DUBAI
AMERICAN UNIVERSITY KOGOD SCHOOL OF BUSINESS,AMERICAN UNIVERSITY WASHINGTON
AMERICAN UNIVERSITY OF BEIRUT,AMERICAN UNIVERSITY BEIRUT
AMERICAN UNIVERSITY OF BULGARIA,AMERICAN UNIVERSITY BULGARIA
AMERICAN UNIVERSITY OF SHARJAH,AMERICAN UNIVERSITY SHARJAH
AMERICAN UNIVERSITY OF SHARJAH SCHOOL OF BUSINESS AND MANAGEMENT,AMERICAN UNIVERSITY SHARJAH
AMERICAN UNIVERSITY SHARJAH,AMERICAN UNIVERSITY SHARJAH
AMERICAN UNIVERSITY WASHINGTON,AMERICAN UNIVERSITY WASHINGTON
AMERICAN UNIVERSITY-DEPARTMENT OF FINANCE AND REAL ESTATE KOGOD SCHOOL OF BUSINESS,AMERICAN UNIVERSITY WASHINGTON
AMHERST,AMHERST COLLEGE
AMHERST COLLEGE,AMHERST COLLEGE
AMI PARTNERS INC MONTREAL,AMI PARTNERS
AMOS TUCK SCHOOL,DARTMOUTH COLLEGE
AMOS TUCK SCHOOL DARTMOUTH COLLEGE,DARTMOUTH COLLEGE
AMOS TUCK SCHOOL OF BUSINESS ADMINISTRATION DARTMOUTH COLLEGE,DARTMOUTH COLLEGE
AMOS TUCK SCHOOL OF BUSINESS DARTMOUTH COLLEGE,DARTMOUTH COLLEGE
AMRESCO,AMRESCO
AMSTERDAM,UNIVERSITY OF AMSTERDAM
AMSTERDAM BUSINESS SCHOOL,UNIVERSITY OF AMSTERDAM
AMSTERDAM BUSINESS SCHOOL UNIVERSITY OF AMSTERDAM,UNIVERSITY OF AMSTERDAM
AMSTERDAM SCHOOL OF ECONOMICS (ASE) UNIVERSITEIT VAN AMSTERDAM,UNIVERSITY OF AMSTERDAM
AMSTERDAM UNIVERSITY,UNIVERSITY OF AMSTERDAM
ANALYSIS GROUP,ANALYSIS GROUP
ANALYSIS GROUP INC,ANALYSIS GROUP
ANALYSIS GROUP/ECONOMICS BOSTON,ANALYSIS GROUP
ANALYTIC FOCUS LLC BIRMINGHAM AL,ANALYTIC FOCUS LLC BIRMINGHAM AL
ANAXO FINANCIAL SERVICES,ANAXO FINANCIAL SERVICES
ANCONA,UNIVERSITY OF ANCONA
ANDERSON GRADUATE SCHOOL OF MANAGEMENT AT UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON GRADUATE SCHOOL OF MANAGEMENT UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA AT LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA LOS ANGELES CALIFORNIA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA RIVERSIDE,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA-LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON GRADUATE SCHOOL UNIVERSITY OF CALIFORNIA-LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL AT UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL AT UCLA LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF BUSINESS,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF BUSINESS AT UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF BUSINESS UNIVERSITY OF CALIFORNIA AT LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF MANAGEMENT,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF MANAGEMENT AT UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF MANAGEMENT UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA AT LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL OF MANAGEMENT UNIVERSITY OF NEW MEXICO,UNIVERSITY OF NEW MEXICO
ANDERSON SCHOOL UCLA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL UCLA LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL UNIVERSITY OF CALIFORNIA,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL UNIVERSITY OF CALIFORNIA AT LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDERSON SCHOOL UNIVERSITY OF CALIFORNIA LOS ANGELES,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
ANDIMA,ANDIMA
ANDREW YOUNG SCHOOL OF POLICY STUDIES GEORGIA STATE UNIVERSITY,GEORGIA STATE UNIVERSITY
ANGLO-AMERICAN UNIVERSITY,ANGLO-AMERICAN UNIVERSITY
ANGLO-AMERICAN UNIVERSITY PRAGUE,ANGLO-AMERICAN UNIVERSITY
ANIA RESEARCH DEPARTMENT,ITALIAN ASSOCIATION OF INSURANCE COMPANIES
ANIA RESEARCH DEPARTMENT UNIVERSITY OF ROME LA SAPIENZA  ACTUARIAL SCIENCE DEPARTMENT,"UNIVERSITY OF ROME, LA SAPIENZA"
ANKARA UNIVERSITY,ANKARA UNIVERSITY
ANTAI SCHOOL OF MANAGEMENT SHANGHAI JIAOTONG UNIVERSITY,SHANGHAI JIAO TONG UNIVERSITY
ANTWERP,UNIVERSITY OF ANTWERP
ANTWERP (UFSIA),UNIVERSITY OF ANTWERP
ANU,AUSTRALIAN NATIONAL UNIVERSITY
ANU SCHOOL OF ECONOMICS,AUSTRALIAN NATIONAL UNIVERSITY
AOYAMA GAKUIN UNIVERSITY,AOYAMA GAKUIN UNIVERSITY
APG INVESTMENTS SCHIPHOL,APG INVESTMENTS SCHIPHOL
APPALACHIAN STATE UNIVERSITY,APPALACHIAN STATE UNIVERSITY
APPLIED INSURANCE RESEARCH BOSTON,APPLIED INSURANCE RESEARCH BOSTON
APPLIED MATHEMATICS BROWN UNIVERSITY,BROWN UNIVERSITY
APS ASSET MANAGEMENT SINGAPORE,APS ASSET MANAGEMENT SINGAPORE
AQR,AQR CAPITAL MANAGEMENT
AQR CAPITAL MANAGEMENT,AQR CAPITAL MANAGEMENT
ARCHEUS CAPITAL MANAGEMENT LLC,ARCHEUS CAPITAL MANAGEMENT
ARCHEUS CAPITAL MANAGEMENT NEW YORK,"ARCHEUS CAPITAL MANAGEMENT, NEW YORK"
AREA OF ECONOMICS AND POLITICAL SCIENCE INSEAD,INSEAD
AREA OF INFORMATION SYSTEMS AND QUANTITATIVE SCIENCES RAWLS COLLEGE OF BUSINESS TEXAS TECH UNIVERSITY,TEXAS TECHNICAL UNIVERSITY
AREC UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND
ARHUS SCHOOL OF BUSINESS,AARHUS UNIVERSITY
ARISON BUSINESS SCHOOL IDC HERZELIA,INTERDISCIPLINARY CENTER HERZLIYA
ARISON SCHOOL OF BUSINESS IDC,INTERDISCIPLINARY CENTER HERZLIYA
ARISON SCHOOL OF BUSINESS IDC HERZLIA,INTERDISCIPLINARY CENTER HERZLIYA
ARISON SCHOOL OF BUSINESS IDC HERZLIYA,INTERDISCIPLINARY CENTER HERZLIYA
ARISON SCHOOL OF BUSINESS IDC ISRAEL,INTERDISCIPLINARY CENTER HERZLIYA
ARISON SCHOOL OF BUSINESS OF IDC,INTERDISCIPLINARY CENTER HERZLIYA
ARIZONA,UNIVERSITY OF ARIZONA
ARIZONA STATE,ARIZONA STATE UNIVERSITY
ARIZONA STATE (WEST),ARIZONA STATE UNIVERSITY
ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY
ARIZONA STATE UNIVERSITY COLLEGE OF BUSINESS,ARIZONA STATE UNIVERSITY
ARIZONA STATE UNIVERSITY DEPARTMENT OF FINANCE,ARIZONA STATE UNIVERSITY
ARIZONA STATE UNIVERSITY TEMPE,ARIZONA STATE UNIVERSITY
ARIZONA STATE UNIVERSITY WEST,ARIZONA STATE UNIVERSITY
ARIZONA STATE UNIVERSITY-WEST,ARIZONA STATE UNIVERSITY
ARIZONA UNIVERSITY,UNIVERSITY OF ARIZONA
ARKANSAS STATE UNIVERSITY,ARKANSAS STATE UNIVERSITY
ARKANSAS UNIVERSITY,UNIVERSITY OF ARKANSAS
ARONSON+PARTNERS PHILADELPHIA,ARONSON+PARTNERS
ARROWSTREET CAPITAL,ARROWSTREET CAPITAL
ARROWSTREET CAPITAL LP,ARROWSTREET CAPITAL
ARROWSTREET CAPITAL LP CAMBRIDGE,ARROWSTREET CAPITAL
ARROWSTREET CAPITAL LP JOHN HANCOCK TOWER,ARROWSTREET CAPITAL
ARROWSTREET CAPITAL LP THE JOHN HANCOCK TOWER,ARROWSTREET CAPITAL
ASIA AND PACIFIC DEPARTMENT INTERNATIONAL MONETARY FUND,INTERNATIONAL MONETARY FUND
ASIA FIXED INCOME BANK BOSTON,ASIA FIXED INCOME BANK BOSTON
ASIAN DEVELOPMENT BANK,JAPAN DEVELOPMENT BANK
ASIAN DEVELOPMENT BANK INSTITUTE,ASIAN DEVELOPMENT BANK INSTITUTE
ASIAN DEVELOPMENT BANK INSTITUTE (TOKYO),ASIAN DEVELOPMENT BANK INSTITUTE
ASIAN PUBLIC POLICY PROGRAM OF HITOTSUBASHI UNIVERSITY,HITOTSUBASHI UNIVERSITY
ASPER SCHOOL OF BUSINESS UNIVERSITY OF MANITOBA,UNIVERSITY OF ARIZONA
ASSOCIATION FOR INVESTMENT MANAGEMENT AND RESEARCH,ASSOCIATION FOR INVESTMENT MANAGEMENT AND RESEARCH
ASTON BUSINESS SCHOOL,ASTON UNIVERSITY
ASTON BUSINESS SCHOOL ASTON UNIVERSITY,ASTON UNIVERSITY
ASTON UNIVERSITY,ASTON UNIVERSITY
ASU,ARIZONA STATE UNIVERSITY
AT KEARNEY (LONDON),AT KEARNEY
AT THE OHIO STATE UNIVERSITY IN COLUMBUS,OHIO STATE UNIVERSITY
AT&T,AT&T
ATHENS DERIVATIVES EXCHANGE,ATHENS DERIVATIVES EXCHANGE
ATHENS LABORATORY OF BUSINESS ADMINISTRATION,ALBA GRADUATE BUSINESS SCHOOL
ATHENS LABORATORY OF BUSINESS ADMINISTRATION (ALBA),ALBA GRADUATE BUSINESS SCHOOL
ATHENS LABORATORY OF BUSINESS ADMINISTRATION AND CARDIFF BUSINESS SCHOOL CARDIFF UNIVERSITY,ALBA GRADUATE BUSINESS SCHOOL
ATHENS UNIVERSITY OF BUSINESS AND ECONOMICS,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS
ATHENS UNIVERSITY OF ECONOMICS & BUSINESS,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS EUROPEAN ECONOMIC STUDIES,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS
ATKINSON GRADUATE SCHOOL OF MANAGEMENT WILLAMETTE UNIVERSITY,WILLAMETTE UNIVERSITY
ATLANTA,-
ATLANTA FED,FEDERAL RESERVE BANK OF ATLANTA
ATLANTA FEDERAL RESERVE,FEDERAL RESERVE BANK OF ATLANTA
ATLANTA FINANCE FORUM,FEDERAL RESERVE BANK OF ATLANTA-EMORY UNIVERSITY-GEORGIA TECH-GEORGIA STATE UNIVERSITY (JOINT)
ATLANTA FINANCE WORKSHOP,FEDERAL RESERVE BANK OF ATLANTA-EMORY UNIVERSITY-GEORGIA TECH-GEORGIA STATE UNIVERSITY (JOINT)
ATLANTA FRB,FEDERAL RESERVE BANK OF ATLANTA
AUBREY G LANSTON & CO INC,AUBREY G. LANSTON AND CO.
AUBURN,AUBURN UNIVERSITY
AUBURN UNIVERSITY,AUBURN UNIVERSITY
AUCKLAND,UNIVERSITY OF AUCKLAND
AUCKLAND UNIVERSITY,UNIVERSITY OF AUCKLAND
AUCKLAND UNIVERSITY OF TECHNOLOGY,AUCKLAND UNIVERSITY OF TECHNOLOGY
AUCKLAND UNIVERSITY OF TECHNOLOGY DEPARTMENT OF FINANCE BUSINESS SCHOOL,AUCKLAND UNIVERSITY OF TECHNOLOGY
AUDENCIA NANTES SCHOOL OF MANAGEMENT,AUDENCIA NANTES SCHOOL OF MANAGEMENT
AUDENCIA SCHOOL OF MANAGEMENT,AUDENCIA NANTES SCHOOL OF MANAGEMENT
AUEB,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS
AUEB (ATHENS),ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS
AUGSBURG,UNIVERSITY OF AUGSBURG
AUSTIN-UT,"UNIVERSITY OF TEXAS, AUSTIN"
AUSTRALIAN GRADUATE SCHOOL OF MANAGEMENT,AUSTRALIAN GRADUATE SCHOOL OF MANAGEMENT
AUSTRALIAN GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF NEW SOUTH WALES,UNIVERSITY OF NEW SOUTH WALES
AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIAN NATIONAL UNIVERSITY
AUSTRALIAN NATIONAL UNIVERSITY COLLEGE OF BUSINESS AND ECONOMICS,AUSTRALIAN NATIONAL UNIVERSITY
AUSTRALIAN PRUDENTIAL REGULATION AUTHORITY,AUSTRALIAN PRUDENTIAL REGULATION AUTHORITY
AUSTRALIAN SCHOOL OF BUSINESS UNIVERSITY OF NEW SOUTH WALES,UNIVERSITY OF NEW SOUTH WALES
AUSTRALIAN TREASURY,AUSTRALIAN TREASURY
AUSTRIAN INSTITUTE OF ECONOMIC RESEARCH (WIFO),AUSTRIAN INSTITUTE OF ECONOMIC RESEARCH
AUSTRIAN INSTITUTE OF ECONOMIC RESEARCH IN VIENNA,AUSTRIAN INSTITUTE OF ECONOMIC RESEARCH
AUSTRIAN NATIONAL BANK IN VIENNA,AUSTRIAN NATIONAL BANK
AUSTRIAN RESEARCH INSTITUTE FOR ARTIFICIAL INTELLIGENCE VIENNA,AUSTRIAN RESEARCH INSTITUTE FOR ARTIFICIAL INTELLIGENCE VIENNA
AUT UNIVERSITY,AUCKLAND UNIVERSITY OF TECHNOLOGY
AUTOMATED TRADING DESK INC (ATD),AUTOMATED TRADING DESK
AUTONOMA UNIVERSITY OF BARCELONA,UNIVERSITY AUTONOMA BARCELONA
AUTORITES DES MARCHES FINANCIERS,AUTORITES DES MARCHES FINANCIERS
AXA INVESTMENT MANAGERS,AXA INVESTMENT MANAGERS
BABCOCK GRADUATE SCHOOL OF MANAGEMENT WAKE FOREST UNIVERSITY,WAKE FOREST UNIVERSITY
BABCOCK SCHOOL WAKE FOREST UNIVERSITY,WAKE FOREST UNIVERSITY
BABSON,BABSON COLLEGE
BABSON COLLEGE,BABSON COLLEGE
BABSON COLLEGE BABSON PARK,BABSON COLLEGE
BABSON COLLEGE BOARD OF RESEARCH,BABSON COLLEGE
BAFIN (FRANKFURT),BUNDESANSTALT FUER FINANZDIENSTLEISTUNGSAUFSICHT
BAKER LIBRARY HARVARD BUSINESS SCHOOL,HARVARD UNIVERSITY
BALL STATE UNIVERSITY,BALL STATE UNIVERSITY
BALLIOL COLLEGE UNIVERSITY OF OXFORD,UNIVERSITY OF OXFORD
BANCA D ITALIA,BANCA D'ITALIA
BANCA D ITALIA RESEARCH DEPARTMENT,BANCA D'ITALIA
BANCA D'ITALIA,BANCA D'ITALIA
BANCA D'ITALIA ECONOMIC OUTLOOK AND MONETARY POLICY DEPARTMENT,BANCA D'ITALIA
BANCA D'ITALIA RESEARCH DEPARTMENT,BANCA D'ITALIA
BANCA D'ITALIA VIGILANZA CREDITIZIA E FINANZIARIA SERVIZIO NORMATIVA E AFFARI GENERALI,BANCA D'ITALIA
BANCA D'LTALIA,BANCA D'ITALIA
BANCO BILBAO VIZCAYA ARGENTARIA,BANCO BILBAO VIZCAYA ARGENTARIA
BANCO CENTRAL DE CHILE,CENTRAL BANK OF CHILE
BANCO CENTRAL DE RESERVA DEL PERU,BANK OF PERU
BANCO CENTRAL DEL URUGUAY,BANK OF URUGUAY
BANCO CENTRAL DO BRASIL,BANCO CENTRAL DO BRASIL
BANCO DE ESPANA,BANK OF SPAIN
BANCO DE ESPANN,BANK OF SPAIN
BANCO DE LA REPUBLICA,BANCO DE LA REPUBLICA
BANCO DE MEXICO,BANK OF MEXICO
BANCO DE PORTUGAL,BANK OF PORTUGAL
BANCOSOL IN BOLIVIA,BANCOSOL
BANGLADESH BANK,BANGLADESH BANK
BANGOR,BANGOR UNIVERSITY
BANGOR BUSINESS SCHOOL,BANGOR UNIVERSITY
BANGOR BUSINESS SCHOOL BANGOR UNIVERSITY,BANGOR UNIVERSITY
BANGOR BUSINESS SCHOOL UNIVERSITY OF WALES,UNIVERSITY OF WALES
BANGOR UNIVERSITY,BANGOR UNIVERSITY
